text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Do you want to know more about #BIDREX? Find out about the project aims &amp; meet the partners in our 1st newsletter… https://t.co/3viSyoCIht,FALSE,4.0,NA,2017-03-01T10:22:53Z,TRUE,NA,836884438848061442,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",interregbidrex,2.0,FALSE,FALSE,NA,NA
Exciting event -  looking forward to seeing what we can apply @interregbidrex #BIDREX #biodiversitydata https://t.co/Gpon46JXRC,FALSE,6.0,NA,2017-02-28T18:53:58Z,FALSE,NA,836650668580569088,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",interregbidrex,1.0,FALSE,FALSE,NA,NA
"Defining workplan with partners for next #BIDREX workshop at @IngurumenEJGV Euskadi ""Matching information to needs"" https://t.co/fieu2cJPfH",FALSE,7.0,NA,2017-02-24T11:34:16Z,FALSE,NA,835090464697171969,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,2.0,FALSE,FALSE,NA,NA
@ALERC_NC Highligting main topics of Data infraestructures related to decision-making process #BIDREX working group https://t.co/6xX9uTnzet,FALSE,1.0,ALERC_NC,2017-02-23T14:13:18Z,FALSE,NA,834768098704113666,467714032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,3.0,FALSE,FALSE,NA,NA
"Having a nice dinner together after a hard-working day during the ""Information needs for decision-makers"" #BIDREX w… https://t.co/vgpXhKuWYO",FALSE,5.0,NA,2017-02-22T20:20:17Z,TRUE,NA,834498066145226753,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",interregbidrex,0.0,FALSE,FALSE,NA,NA
"Nice brainstorming related to Information infrastructures during ""Information needs for decision-makers"" #bidrex wo… https://t.co/z8eGiPn2fp",FALSE,7.0,NA,2017-02-22T16:41:58Z,TRUE,NA,834443124403474434,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",interregbidrex,5.0,FALSE,FALSE,NA,NA
@PaulDolman3 presenting the Biodiversity Audit Approach methodology at one of the working groups at #BIDREX workshop https://t.co/He15DY710f,FALSE,3.0,PaulDolman3,2017-02-22T13:49:32Z,FALSE,NA,834399730734080000,779072139425157120,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,1.0,FALSE,FALSE,NA,NA
"First #BIDREX @interregeurope workshop ""Information needs for decision-makers"" Wallonia. Let's start to share ideas https://t.co/26JNKWfczo",FALSE,9.0,NA,2017-02-22T10:48:10Z,FALSE,NA,834354087252598784,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,3.0,FALSE,FALSE,NA,NA
Want to keep up to date with project progress? Sign up to our newsletter here https://t.co/tJKaztIqqX #bidrex #data… https://t.co/BaJaV8yNud,FALSE,5.0,NA,2017-02-17T12:38:49Z,TRUE,NA,832569991601987584,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",interregbidrex,5.0,FALSE,FALSE,NA,NA
~60 participants considered how to improve the connection between #biodiversity #data &amp; decision-making processes… https://t.co/KGsIQzd6Vw,FALSE,5.0,NA,2017-02-16T16:10:36Z,TRUE,NA,832260903236169728,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",interregbidrex,4.0,FALSE,FALSE,NA,NA
Almost 60 attendees at the LSG meeting #BID-REX @interregeurope at Basque country. Great sucess!!! https://t.co/OtYJSC0FSU,FALSE,4.0,NA,2017-02-11T08:08:58Z,FALSE,NA,830327754491097088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,1.0,FALSE,FALSE,NA,NA
"The National Institute of Biology, Slovenia held a conference on #biodiversity in the agricultural landscape https://t.co/xM4gwK2EYz",FALSE,2.0,NA,2017-02-06T16:54:50Z,FALSE,NA,828648155323457537,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",interregbidrex,1.0,FALSE,FALSE,NA,NA
"Upcoming #Interreg workshop ""Information needs for decision-makers"" 22-24 February in Wallonia(Belgium). More info coming soon. Stay tuned!!",FALSE,5.0,NA,2017-01-27T09:29:07Z,FALSE,NA,824912110132064257,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,7.0,FALSE,FALSE,NA,NA
@interregbidrex is also one #InterregEurope project aiming to improve decision making processes in #natureprotection https://t.co/XGigpDXd09,FALSE,2.0,interregbidrex,2016-12-21T14:02:38Z,FALSE,NA,811572590724661248,788664063823867904,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,2.0,FALSE,FALSE,NA,NA
BID-REX will contribute to build the Catalan Biodiversity Observatory. Making better decisions with better info  https://t.co/8VD1JyXM29,FALSE,3.0,NA,2016-11-09T12:32:30Z,FALSE,NA,796329616248082432,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,1.0,FALSE,FALSE,NA,NA
"F.Miralles (Env. Dept. Gov. ):""We need to move from information to knowledge for decision making"" #infobio16 https://t.co/O8Yhc1EJ9m",FALSE,5.0,NA,2016-11-08T12:24:53Z,FALSE,NA,795965312587939841,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,4.0,FALSE,FALSE,NA,NA
#BID-REX @interregeurope  presented at #infobio16 #GBIF meeting for regional environmental authorities in Barcelona https://t.co/VrKMdrNQgz,FALSE,5.0,NA,2016-11-08T09:52:38Z,FALSE,NA,795926997746782208,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",interregbidrex,6.0,FALSE,FALSE,NA,NA
